category,total_count,available_count,markdown_count,median_price,median_markdown_percent
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф Siemens",11,,,6099.0,
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф Unique",2,,,,
"Інтернет магазин,Аксесуари до духових шаф,Аксесуари до духових шаф WPRO",1,,,,
"Інтернет магазин,Аксесуари до екшн-камер",70,,,,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер 1MORE",2,,,1929.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Ac Prof",64,54.0,,115.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Acehe",1,,,4103.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Action",4,,,,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер AirOn",50,35.0,32.0,399.0,50.09394575299325
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Andoer",1,,,,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер BGNing",2,2.0,2.0,100.0,13.043478260869565
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Bautech",19,16.0,16.0,100.0,13.043478260869565
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Cnv",7,2.0,2.0,189.0,34.58249496981891
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер DVR",3,2.0,2.0,413.0,36.15821777676745
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Digital",1,,,,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Drobak",1,,,3464.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Eken",1,,,,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер GitUp",1,,,,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер GlassCam",1,1.0,1.0,1329.0,13.023560209424083
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер GoPro",57,20.0,12.0,999.0,32.60413401826363
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер GoProff Accss",18,13.0,13.0,482.0,21.38095238095238
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер HEAD",1,1.0,,749.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Hand Grip",1,,,,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Insta360",8,4.0,,1310.5,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Lesko",1,,,,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер MHZ",1,,,249.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Mcoplus",1,1.0,,648.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер NN",57,41.0,3.0,195.0,32.340425531914896
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Nomi",10,5.0,5.0,174.0,60.120240480961925
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Optika",1,,,,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Reserve de I'Aube",1,,,299.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер SJCam",1,1.0,,144.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер SP",1,,,1160.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер SP Gadgets",1,1.0,,899.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Shoot",78,71.0,,175.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Sklo",7,7.0,,199.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Smtkey",1,1.0,1.0,947.0,13.039485766758494
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Sony",16,10.0,6.0,1299.0,19.390873049409635
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Soocoo",1,1.0,1.0,199.0,9.132420091324201
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Sunnylife",17,12.0,,193.5,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Telesin",30,13.0,6.0,433.5,21.277056277056275
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер ThiEye",1,1.0,1.0,159.0,20.100502512562816
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Top Shop",2,1.0,1.0,413.0,36.46153846153846
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер U-Like",1,,,245.0,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Ulanzi",16,2.0,,309.5,
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Wallytech",1,1.0,1.0,100.0,13.043478260869565
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер XPRO",9,9.0,9.0,238.0,28.282828282828284
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Xiaomi",8,1.0,1.0,399.0,40.16064257028113
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Yi",14,1.0,1.0,277.5,22.964169381107492
"Інтернет магазин,Аксесуари до екшн-камер,Аксесуари до екшн-камер Zhiyun",1,,,,
